i,j,value
-19,9,0.0140654
-19,10,0.0128115
-19,11,0.0115698
-19,12,0.0103604
-19,13,0.00920023
-19,14,0.00810281
-19,15,0.00707827
-19,16,0.00613347
-19,17,0.0052723
-19,18,0.00449593
-19,19,0.00380319
-19,20,0.003191
-19,21,0.0026547
-19,22,0.00218845
-19,23,0.00178554
-19,24,0.00143863
-19,25,0.00114004
-19,26,0.000881844
-19,27,0.000656032
-19,28,0.000454557
-19,29,0.000269377
-19,30,9.24664e-05
-19,31,0
-18,-31,0
-18,-30,0.000117855
-18,-29,0.000214384
-18,-28,0.000333033
-18,-27,0.000482455
-18,-26,0.000672122
-18,-25,0.000912311
-18,-24,0.00121397
-18,-23,0.00158846
-18,-22,0.0020472
-18,-21,0.00260111
-18,-20,0.00326001
-18,-19,0.00403195
-18,-18,0.00492237
-18,-17,0.00593344
-18,-16,0.00706328
-18,-15,0.00830547
-18,-14,0.00964858
-18,-13,0.0110761
-18,-12,0.0125663
-18,-11,0.0140932
-18,-10,0.0156265
-18,-9,0.0171334
-18,-8,0.0185789
-18,-7,0.019928
-18,-6,0.0211467
-18,-5,0.0222037
-18,-4,0.0230716
-18,-3,0.023728
-18,-2,0.0241568
-18,-1,0.0243487
-18,0,0.0243013
-18,1,0.0240193
-18,2,0.0235138
-18,3,0.0228023
-18,4,0.0219069
-18,5,0.0208537
-18,6,0.0196715
-18,7,0.0183908
-18,8,0.017042
-18,9,0.0156547
-18,10,0.014257
-18,11,0.012874
-18,12,0.0115279
-18,13,0.0102371
-18,14,0.00901665
-18,15,0.00787748
-18,16,0.00682713
-18,17,0.00586979
-18,18,0.00500668
-18,19,0.00423646
-18,20,0.00355564
-18,21,0.00295905
-18,22,0.00244018
-18,23,0.00199156
-18,24,0.00160508
-18,25,0.00127221
-18,26,0.000984162
-18,27,0.000732068
-18,28,0.000507025
-18,29,0.000300148
-18,30,0.000102585
-18,31,0
-17,-31,0
-17,-30,0.00013756
-17,-29,0.000249456
-17,-28,0.000386433
-17,-27,0.000558243
-17,-26,0.000775503
-17,-25,0.00104966
-17,-24,0.00139283
-17,-23,0.00181751
-17,-22,0.00233617
-17,-21,0.00296064
-17,-20,0.00370144
-17,-19,0.00456701
-17,-18,0.00556288
-17,-17,0.00669086
-17,-16,0.0079483
-17,-15,0.0093275
-17,-14,0.0108153
-17,-13,0.012393
-17,-12,0.0140363
-17,-11,0.0157162
-17,-10,0.0173994
-17,-9,0.0190495
-17,-8,0.0206285
-17,-7,0.0220981
-17,-6,0.0234214
-17,-5,0.0245645
-17,-4,0.0254981
-17,-3,0.0261982
-17,-2,0.026648
-17,-1,0.0268378
-17,0,0.0267657
-17,1,0.0264373
-17,2,0.0258655
-17,3,0.0250694
-17,4,0.0240737
-17,5,0.0229072
-17,6,0.0216014
-17,7,0.0201894
-17,8,0.0187047
-17,9,0.0171795
-17,10,0.0156441
-17,11,0.014126
-17,12,0.0126491
-17,13,0.0112336
-17,14,0.00989549
-17,15,0.00864675
-17,16,0.00749545
-17,17,0.00644608
-17,18,0.0054999
-17,19,0.00465537
-17,20,0.00390866
-17,21,0.00325409
-17,22,0.00268452
-17,23,0.00219181
-17,24,0.00176706
-17,25,0.00140095
-17,26,0.00108389
-17,27,0.000806192
-17,28,0.000558147
-17,29,0.000330068
-17,30,0.000112323
-17,31,0
-16,-31,0
-16,-30,0.000157985
-16,-29,0.000285631
-16,-28,0.000441263
-16,-27,0.000635703
-16,-26,0.000880659
-16,-25,0.00118868
-16,-24,0.00157298
-16,-23,0.00204709
-16,-22,0.0026244
-16,-21,0.00331752
-16,-20,0.00413754
-16,-19,0.00509316
-16,-18,0.00618987
-16,-17,0.00742903
-16,-16,0.00880714
-16,-15,0.0103152
-16,-14,0.0119384
-16,-13,0.0136557
-16,-12,0.0154406
-16,-11,0.0172612
-16,-10,0.0190812
-16,-9,0.0208614
-16,-8,0.0225606
-16,-7,0.0241379
-16,-6,0.0255538
-16,-5,0.0267721
-16,-4,0.0277618
-16,-3,0.0284979
-16,-2,0.0289628
-16,-1,0.0291467
-16,0,0.0290481
-16,1,0.0286739
-16,2,0.0280382
-16,3,0.0271621
-16,4,0.0260725
-16,5,0.0248004
-16,6,0.02338
-16,7,0.0218469
-16,8,0.020237
-16,9,0.018585
-16,10,0.0169233
-16,11,0.0152812
-16,12,0.0136846
-16,13,0.0121547
-16,14,0.0107088
-16,15,0.00935951
-16,16,0.00811554
-16,17,0.00698158
-16,18,0.00595893
-16,19,0.00504591
-16,20,0.00423836
-16,21,0.00353013
-16,22,0.00291355
-16,23,0.00237982
-16,24,0.00191937
-16,25,0.00152216
-16,26,0.00117788
-16,27,0.000876078
-16,28,0.000606319
-16,29,0.000358192
-16,30,0.00012136
-16,31,0
-15,-31,0
-15,-30,0.000178509
-15,-29,0.000321779
-15,-28,0.000495776
-15,-27,0.000712315
-15,-26,0.000984105
-15,-25,0.00132469
-15,-24,0.00174822
-15,-23,0.00226914
-15,-22,0.0029016
-15,-21,0.00365882
-15,-20,0.00455227
-15,-19,0.00559079
-15,-18,0.00677967
-15,-17,0.00811975
-15,-16,0.00960662
-15,-15,0.01123
-15,-14,0.0129734
-15,-13,0.014814
-15,-12,0.0167228
-15,-11,0.0186656
-15,-10,0.0206036
-15,-9,0.0224949
-15,-8,0.0242959
-15,-7,0.0259633
-15,-6,0.0274555
-15,-5,0.0287347
-15,-4,0.0297685
-15,-3,0.030531
-15,-2,0.0310042
-15,-1,0.0311785
-15,0,0.031053
-15,1,0.0306352
-15,2,0.029941
-15,3,0.0289929
-15,4,0.0278196
-15,5,0.0264544
-15,6,0.0249335
-15,7,0.0232947
-15,8,0.0215759
-15,9,0.0198137
-15,10,0.0180424
-15,11,0.016293
-15,12,0.0145925
-15,13,0.0129636
-15,14,0.0114241
-15,15,0.00998763
-15,16,0.0086631
-15,17,0.00745548
-15,18,0.00636612
-15,19,0.00539319
-15,20,0.00453227
-15,21,0.00377684
-15,22,0.00311875
-15,23,0.00254867
