i,j,value
-19,-5,-0.510261
-19,-4,-0.553583
-19,-3,-0.590973
-19,-2,-0.620606
-19,-1,-0.640973
-19,0,-0.651041
-19,1,-0.650359
-19,2,-0.639103
-19,3,-0.618044
-19,4,-0.588455
-19,5,-0.55196
-19,6,-0.510374
-19,7,-0.46554
-19,8,-0.419198
-19,9,-0.372883
-19,10,-0.327873
-19,11,-0.285157
-19,12,-0.245447
-19,13,-0.209195
-19,14,-0.17663
-19,15,-0.147803
-19,16,-0.122621
-19,17,-0.100891
-19,18,-0.0823502
-19,19,-0.0666955
-19,20,-0.0536061
-19,21,-0.0427599
-19,22,-0.033846
-19,23,-0.0265721
-19,24,-0.0206695
-19,25,-0.0158945
-19,26,-0.0120279
-19,27,-0.00887292
-19,28,-0.00625168
-19,29,-0.00400091
-19,30,-0.00196689
-19,31,0
-18,-31,0
-18,-30,-0.000510652
-18,-29,-0.00112561
-18,-28,-0.00192572
-18,-27,-0.00300997
-18,-26,-0.00450188
-18,-25,-0.00655625
-18,-24,-0.00936597
-18,-23,-0.0131685
-18,-22,-0.0182514
-18,-21,-0.0249569
-18,-20,-0.0336827
-18,-19,-0.0448809
-18,-18,-0.0590505
-18,-17,-0.0767244
-18,-16,-0.0984491
-18,-15,-0.124755
-18,-14,-0.156116
-18,-13,-0.192904
-18,-12,-0.235325
-18,-11,-0.283358
-18,-10,-0.336685
-18,-9,-0.394622
-18,-8,-0.456071
-18,-7,-0.519488
-18,-6,-0.582893
-18,-5,-0.643933
-18,-4,-0.700001
-18,-3,-0.748427
-18,-2,-0.786709
-18,-1,-0.812765
-18,0,-0.825174
-18,1,-0.823337
-18,2,-0.807544
-18,3,-0.778926
-18,4,-0.739297
-18,5,-0.690936
-18,6,-0.636342
-18,7,-0.578
-18,8,-0.518207
-18,9,-0.45894
-18,10,-0.401796
-18,11,-0.347975
-18,12,-0.298299
-18,13,-0.253253
-18,14,-0.213045
-18,15,-0.17766
-18,16,-0.146917
-18,17,-0.12052
-18,18,-0.0981002
-18,19,-0.0792499
-18,20,-0.0635488
-18,21,-0.0505837
-18,22,-0.0399619
-18,23,-0.0313191
-18,24,-0.0243238
-18,25,-0.0186781
-18,26,-0.0141163
-18,27,-0.0104014
-18,28,-0.00732082
-18,29,-0.00468053
-18,30,-0.0022989
-18,31,0
-17,-31,0
-17,-30,-0.000623763
-17,-29,-0.00137281
-17,-28,-0.002345
-17,-27,-0.00365982
-17,-26,-0.00546627
-17,-25,-0.00795108
-17,-24,-0.0113471
-17,-23,-0.0159415
-17,-22,-0.0220831
-17,-21,-0.0301882
-17,-20,-0.0407436
-17,-19,-0.0543055
-17,-18,-0.0714931
-17,-17,-0.092975
-17,-16,-0.119446
-17,-15,-0.151595
-17,-14,-0.190055
-17,-13,-0.235348
-17,-12,-0.287811
-17,-11,-0.347507
-17,-10,-0.414136
-17,-9,-0.486938
-17,-8,-0.56461
-17,-7,-0.645244
-17,-6,-0.726324
-17,-5,-0.804778
-17,-4,-0.87713
-17,-3,-0.939751
-17,-2,-0.98919
-17,-1,-1.02255
-17,0,-1.03785
-17,1,-1.03429
-17,2,-1.01232
-17,3,-0.973617
-17,4,-0.920775
-17,5,-0.856999
-17,6,-0.785727
-17,7,-0.710303
-17,8,-0.633732
-17,9,-0.558527
-17,10,-0.486654
-17,11,-0.419523
-17,12,-0.358048
-17,13,-0.302712
-17,14,-0.253654
-17,15,-0.210752
-17,16,-0.173693
-17,17,-0.142041
-17,18,-0.115288
-17,19,-0.0928916
-17,20,-0.074311
-17,21,-0.0590232
-17,22,-0.0465389
-17,23,-0.0364102
